Count of OFFENSES,Column Labels,,,,,,,,,,,,,,,,,,
Row Labels,ATTEMPTED HOMICIDE(PERSONS),ATTEMPTED MURDER(PERSONS),ATTEMPTED PARRICIDE(PERSONS),ATTEMPTED RAPE (Art. 266-A RC & R.A.8353)(PERSONS),ATTEMPTED ROBBERY(PROPERTY),ATTEMPTED THEFT(PROPERTY),CONSUMATED ANTI-CARNAPPING ACT (R.A. 6539) MC(SPECIAL LAWS),CONSUMATED ANTI-CARNAPPING ACT (R.A. 6539) MV(SPECIAL LAWS),CONSUMATED HOMICIDE(PERSONS),CONSUMATED MURDER(PERSONS),CONSUMATED PHYSICAL INJURIES(PERSONS),CONSUMATED RAPE (Art. 266-A RC & R.A.8353)(PERSONS),CONSUMATED ROBBERY(PROPERTY),CONSUMATED THEFT(PROPERTY),FRUSTRATED HOMICIDE(PERSONS),FRUSTRATED MURDER(PERSONS),QUALIFIED THEFT(PROPERTY),SERIOUS PHYSICAL INJURIES(PERSONS),Grand Total
Barangay 1,,,,,,,1,,,,,,,,,,,,1
Barangay 10,,,,,,,1,,,,,,,1,1,,,,3
Barangay 100,,,,,,,,,,,1,,,1,,,,,2
Barangay 101,,1,,,,,,,,,,,,1,,,,,2
Barangay 103,,,,,,,,,,,,,,,,1,,,1
Barangay 104,,,,,,,,,,3,1,,,1,,,,,5
Barangay 105,,,,,,,,,,,,,,,,1,,,1
Barangay 106,,,,,,,,,,,,,,1,,,,,1
Barangay 107,1,,,,,,,,,1,,,1,2,,,,,5
Barangay 108,,,,,,,,,,,1,1,,,,,,,2
Barangay 109,,,,,,,,,,,1,,,1,,,,,2
Barangay 11,,,,,,,,,1,1,1,1,,,,,,,4
Barangay 110,1,,,,,,,,,,,,,1,1,2,,,5
Barangay 111,,,,,,,,,,,,,,1,1,,,,2
Barangay 112,1,,,,,,,,,,,,,,,1,,,2
Barangay 113,,,,,,,,,,2,,1,,,,1,,,4
Barangay 114,,,,,,,,,,,,1,,,,,,,1
Barangay 115,,,,,,,,,,1,,,,,,1,,,2
Barangay 118,,,,,,,,,,,,1,,,,,,,1
Barangay 119,,,,,,,,,,1,,1,2,1,,,,,5
Barangay 12,,,,,,,,1,,,,,1,,,,,,2
Barangay 120,1,1,,,,,,,,1,,,,1,,,,,4
Barangay 121,,1,,,,,,,,1,,,,,2,,,,4
Barangay 122,,,,,,,,,,,,,,1,,,,,1
Barangay 123,,,,,,,1,,,1,,,,1,,,,,3
Barangay 124,,,,,,,,1,,1,,,,,,,,,2
Barangay 125,,,,,,,,,,,,,,1,,,,,1
Barangay 126,,,,,,,,,,,1,,1,,,,,,2
Barangay 127,,,,,,,1,,,,1,,5,,,,,,7
Barangay 128,,1,,,,,,,,1,,,,,,2,,,4
Barangay 129,,1,,,,,,,,1,,,1,1,1,,,,5
Barangay 13,1,1,,,,,1,2,,2,1,3,,,1,,,,12
Barangay 130,,,,,,,,,,2,,,,1,,2,,,5
Barangay 131,1,,,,,,1,,,2,,,,1,,,,,5
Barangay 132,,,,,,,,,1,2,,,,3,2,,,,8
Barangay 133,,,,,,,,,,,1,,,2,,,,,3
Barangay 134,,,,,,,,,,1,,,,,,,,,1
Barangay 135,,,,,,,,,,,,2,,,,,,,2
Barangay 136,1,,,,,,,,,,,,2,,1,1,,,5
Barangay 137,1,,,,,,,,,,,,1,,,,,1,3
Barangay 138,,,,,,,,,1,,,,,,,1,,,2
Barangay 14,,,1,,,,,,,2,2,1,4,6,,1,,,17
Barangay 140,,,,,,,,,,,1,,,,,,,,1
Barangay 142,,,,,,,,,,1,,1,,1,1,1,,,5
Barangay 143,,1,,,,,,,,,1,,2,1,,,,,5
Barangay 144,2,,,,,,,1,,1,,,5,3,2,,,,14
Barangay 145,5,,,,,,,,2,15,2,4,1,8,1,3,,,41
Barangay 146,2,,,,,,,,,6,2,1,,11,,1,,,23
Barangay 147,1,,,,,,2,,,5,2,,2,4,,2,,,18
Barangay 148,2,,,,,,,1,,1,2,2,1,1,1,,,,11
Barangay 149,,,,,,,,,,,,,,,1,,,,1
Barangay 15,1,,,,,,,,,1,2,1,,5,,,,,10
Barangay 150,1,,,,,,,,1,,,,,5,,1,,,8
Barangay 152,1,1,,,,,,,,1,1,1,3,2,,1,,,11
Barangay 153,1,,,,,,,,,1,,,,,,,,,2
Barangay 154,,,,,,,,,,1,1,,,,,,,,2
Barangay 155,,,,,,,,,,,1,,,,,,,,1
Barangay 156,,1,,,,,,,,,,3,3,4,2,,,,13
Barangay 157,1,,,,,,,,,4,2,,,,1,2,,,10
Barangay 158,1,,,,,,,,,,,,2,,1,,,,4
Barangay 159,,,,,,,,,,,2,1,1,5,,,,,9
Barangay 16,1,,,,,,1,,,1,,1,,2,1,1,,,8
Barangay 160,,,,,,,,,,,,,1,2,,,,,3
Barangay 161,,,,,,,,,,,2,2,,,,,,,4
Barangay 162,,,,,,,,1,,2,1,1,,1,,,,,6
Barangay 163,1,,,,,,,,,,1,,,,,,,,2
Barangay 164,,,,,,,,,,1,1,,1,1,,,,,4
Barangay 165,1,,,,,,,,,1,1,1,,1,,2,,,7
Barangay 166,,,,,,,,,,,,,1,3,,,,,4
Barangay 167,1,,,,,,,,,,,2,,,,,,,3
Barangay 168,,,,,,,,,,2,,,,,,1,,,3
Barangay 169,,,,,,,,,,,,,1,1,,3,,,5
Barangay 17,,,,,,,,,,,,,,1,,,,,1
Barangay 170,,,,,,,,,,,1,,,1,,,,,2
Barangay 171,1,,,,,,,,,,1,1,1,,,,,,4
Barangay 172,,,,,1,,,,1,1,2,1,1,1,1,,,,9
Barangay 173,,,,,,,,,,1,,,,,,,,,1
Barangay 174,,,,,,,,,,,,1,,,,,,,1
Barangay 175,,1,,,,,,,,,,,,,1,,,,2
