"main.id","hpq_alp.id","alp_line","alp_tenur","alp_tenur_o","alp_area"
"55960","0","5","1","","300"
"103291","0","3","1","","2"
"103291","1","4","1","","2"
"129059","0","7","1","","6"
"129059","1","8","1","","6"
"129059","2","9","1","","6"
"129059","3","10","1","","6"
"129557","0","2","2","","1"
"137426","0","7","","","1"
"203991","0","4","1","","100"
"204922","0","4","1","","2.5"
"204922","1","5","1","","2.5"
"240387","0","5","","","0"
"376923","0","3","2","","8"
"376923","1","4","2","","7"
"465787","0","2","1","","0"
"465787","1","3","","","0"
"616324","0","2","1","","1"
"616324","1","3","2","","100"
"838396","0","2","1","","4"
"838396","1","3","1","","4"
"838396","2","4","1","","4"
"838396","3","5","1","","4"
"890678","0","6","1","","4"
"890678","1","7","1","","4"
"890678","2","8","1","","4"
"890678","3","9","1","","4"
"1030912","0","6","3","","1"
"1368116","0","4","1","","0"
