"main.id","hpq_cct_mem.id","cct_mem_refno"
"56011","0","3"
"56011","1","4"
"56011","2","5"
"56796","0","3"
"56796","1","4"
"56802","0","5"
"59167","0","1"
"59167","1","5"
"59176","0","1"
"59176","1","2"
"59176","2","6"
"59176","3","7"
"61412","0","4"
"61412","1","3"
"63381","0","12"
"63381","1","11"
"63381","2","14"
"63381","3","3"
"67513","0","1"
"68913","0","20"
"68919","0","2"
"68923","0","1"
"68923","1","2"
"68923","2","3"
"68923","3","4"
"68923","4","5"
"72080","0","2"
"72080","1","3"
"72080","2","4"
"72080","3","5"
"80325","0","4"
"80325","1","3"
"80325","2","2"
"80326","0","3"
"80326","1","4"
"80326","2","5"
"88727","0","2"
"88729","0","2"
"98316","0","5"
"98728","0","1"
"98751","0","2"
"98751","1","3"
"98751","2","4"
"99432","0","5"
"99432","1","6"
"99435","0","5"
"99435","1","6"
"99435","2","7"
"100899","0","8"
"100899","1","9"
"103323","0","5"
"103323","1","6"
"103323","2","7"
"103324","0","5"
"103324","1","6"
"103540","0","4"
"103540","1","5"
"104529","0","3"
"104529","1","4"
"104529","2","5"
"110210","0","2"
"110210","1","3"
"110231","0","2"
"110231","1","3"
"111943","0","5"
"113078","0","8"
"113078","1","7"
"113082","0","3"
"113083","0","5"
"113083","1","3"
"113094","0","1"
"113094","1","2"
"113097","0","6"
"113097","1","5"
"113097","2","4"
"113099","0","5"
"113110","0","4"
"113110","1","5"
"113110","2","6"
"115650","0","1"
"115650","1","4"
"116739","0","2"
"116739","1","5"
"116743","0","1"
"116743","1","3"
"116743","2","4"
"116743","3","5"
"120662","0","4"
"120662","1","3"
"120673","0","5"
"120673","1","4"
"120680","0","3"
"120680","1","4"
"120682","0","6"
"120682","1","7"
"120686","0","3"
"120686","1","4"
"120686","2","5"
"120692","0","4"
"120692","1","5"
"122406","0","1"
"122406","1","5"
"122406","2","4"
"122407","0","3"
"122407","1","4"
"122473","0","3"
"122473","1","4"
"122474","0","4"
"122474","1","5"
"122474","2","6"
"122489","0","13"
"122489","1","11"
"122492","0","2"
"123147","0","5"
"123147","1","6"
"123147","2","7"
"120586","0","2"
"120586","1","3"
"120586","2","4"
"120586","3","5"
"120593","0","1"
"120593","1","2"
"120593","2","3"
"120593","3","4"
"120593","4","5"
"120598","0","2"
"120598","1","4"
"120598","2","3"
"120598","3","4"
"126988","0","3"
"126988","1","4"
"126988","2","5"
"126992","0","3"
"126992","1","4"
"126997","0","3"
"126997","1","4"
"126997","2","5"
"120601","0","4"
"120601","1","2"
"120608","0","2"
"120608","1","3"
"120608","2","4"
"120608","3","5"
"120613","0","1"
"120613","1","2"
"120613","2","3"
"120613","3","4"
"120613","4","5"
"120613","5","6"
"120614","0","2"
"120614","1","3"
"120614","2","4"
"120615","0","1"
"120615","1","2"
"120616","0","1"
"120616","1","4"
"120616","2","3"
"120618","0","2"
"120618","1","3"
"120620","0","2"
"120620","1","6"
"120620","2","7"
"120620","3","9"
"120622","0","2"
"120622","1","3"
"120622","2","4"
"120623","0","1"
"120623","1","2"
"120623","2","3"
"120623","3","4"
"120624","0","2"
"120624","1","3"
"120624","2","5"
"120631","0","2"
"120631","1","4"
"120631","2","5"
"120631","3","6"
"120637","0","2"
"120637","1","4"
"120638","0","2"
"120638","1","1"
"120638","2","3"
"120640","0","2"
"120640","1","4"
"120641","0","2"
"120641","1","3"
"120641","2","4"
"120639","0","2"
"120639","1","3"
"120639","2","4"
"120639","3","5"
"120639","4","6"
"120647","0","2"
"120647","1","3"
"120647","2","4"
"120647","3","5"
"127055","0","2"
"127055","1","3"
"127055","2","4"
"127055","3","5"
"122703","0","2"
"122703","1","3"
"122703","2","4"
"122704","0","3"
"122704","1","2"
"122747","0","2"
"122747","1","5"
"122747","2","7"
"122747","3","6"
"122769","0","2"
"122769","1","5"
"122769","2","3"
"122769","3","4"
"122777","0","2"
"122777","1","5"
"122777","2","6"
"127124","0","2"
"127124","1","3"
"127124","2","4"
"127124","3","5"
"127129","0","1"
"127144","0","4"
"127144","1","2"
"128562","0","2"
"128562","1","5"
"128562","2","6"
"128562","3","7"
"128562","4","8"
"129094","0","8"
"129105","0","1"
"129108","0","1"
"129110","0","1"
"129111","0","1"
"129113","0","1"
"129119","0","1"
"129176","0","6"
"129562","0","2"
"129595","0","2"
"129596","0","2"
"129691","0","3"
"132152","0","1"
"132168","0","1"
"132173","0","3"
"133735","0","2"
"133735","1","5"
"133736","0","2"
"133736","1","5"
"133736","2","6"
"133740","0","2"
"133740","1","4"
"133740","2","5"
"133744","0","2"
"133744","1","3"
"133744","2","4"
"133745","0","2"
"133745","1","3"
"133745","2","4"
"133763","0","2"
"133763","1","3"
"133763","2","4"
"133765","0","2"
"133765","1","4"
"133765","2","5"
"133765","3","6"
"133766","0","5"
"133766","1","6"
"133766","2","7"
"133767","0","2"
"133767","1","4"
"133767","2","5"
"133767","3","6"
"133768","0","1"
"133768","1","6"
"133771","0","2"
"133771","1","3"
"133775","0","1"
"133775","1","3"
"133775","2","4"
"133776","0","1"
"133776","1","3"
"133776","2","4"
"136779","0","4"
"136779","1","5"
"136788","0","5"
"136788","1","2"
"136884","0","3"
