"main.id","hpq_fudforsch_mem.id","fudforsch_mem_refno"
"55963","0","3"
"55970","0","5"
"56799","0","4"
"56809","0","3"
"61412","0","3"
"61412","1","1"
"61412","2","6"
"61415","0","3"
"61416","0","2"
"69126","0","6"
"98284","0","3"
"120593","0","2"
"120595","0","5"
"120618","0","4"
"120628","0","3"
"120628","1","6"
"120628","2","4"
"120631","0","5"
"120631","1","4"
"122715","0","4"
"127152","0","3"
"128540","0","4"
"129061","0","7"
"129095","0","4"
"129101","0","1"
"129105","0","1"
"136891","0","4"
"136893","0","3"
"136893","1","4"
"136919","0","6"
"136930","0","3"
"142605","0","4"
"142605","1","5"
"143176","0","2"
"162250","0","3"
"179576","0","4"
"192126","0","3"
"192129","0","1"
"192129","1","2"
"194324","0","3"
"194443","0","3"
"204925","0","3"
"278451","0","5"
"278451","1","6"
"293612","0","6"
"302899","0","4"
"302912","0","3"
"388530","0","4"
"442658","0","3"
"500814","0","3"
"500838","0","3"
"500838","1","4"
"500838","2","5"
"500838","3","6"
"500850","0","3"
"500850","1","4"
"500854","0","2"
"500854","1","3"
"500862","0","3"
"500957","0","5"
"501205","0","3"
"410084","0","5"
"410084","1","4"
"877755","0","1"
"877755","1","2"
"877755","2","3"
"877755","3","4"
"896623","0","4"
"990547","0","6"
"1051080","0","3"
"1051080","1","4"
"1051080","2","5"
"1051088","0","3"
"1051088","1","4"
"1051088","2","5"
"1051088","3","6"
"1051088","4","7"
"1051090","0","3"
"1051117","0","3"
"1126628","0","4"
"1126628","1","5"
"1508477","0","3"
"1508481","0","4"
"1508495","0","25"
"1554170","0","4"
"1580904","0","3"
"1766363","0","6"
"1766408","0","4"
"1766444","0","6"
"1766450","0","5"
"1766451","0","5"
"1766453","0","4"
"1766461","0","4"
"1766635","0","3"
"1766643","0","4"
"1766645","0","4"
"1766666","0","3"
"1766668","0","7"
"1766679","0","5"
"1766777","0","3"
"3034412","0","5"
"3297126","0","4"
"3297316","0","4"
"3337745","0","5"
"3389958","0","3"
"3389968","0","6"
"3396987","0","4"
"3396988","0","3"
"3397015","0","6"
"3910907","0","3"
"3910912","0","4"
"3910952","0","25"
"3910973","0","4"
"3911003","0","3"
