"main.id","hpq_phiheal_indiv_mem.id","phiheal_indiv_mem_refno"
"55958","0","1"
"56037","0","1"
"56037","1","2"
"56037","2","3"
"56799","0","1"
"56804","0","2"
"59162","0","1"
"59162","1","2"
"67555","0","1"
"68861","0","1"
"70301","0","1"
"70301","1","2"
"88714","0","2"
"88721","0","1"
"88741","0","1"
"98285","0","32"
"98291","0","1"
"98296","0","1"
"98297","0","2"
"98312","0","1"
"98317","0","1"
"98327","0","1"
"103297","0","2"
"111942","0","1"
"113084","0","1"
"115644","0","2"
"120668","0","1"
"120669","0","1"
"126826","0","2"
"120581","0","1"
"120581","1","2"
"120579","0","2"
"120579","1","3"
"120614","0","2"
"120614","1","3"
"120614","2","4"
"127139","0","3"
"127146","0","1"
"128530","0","2"
"128556","0","1"
"128556","1","2"
"128556","2","3"
"129096","0","1"
"129222","0","1"
"129229","0","1"
"129230","0","1"
"129549","0","2"
"129552","0","1"
"129552","1","2"
"129552","2","3"
"129552","3","4"
"129553","0","1"
"129553","1","3"
"129554","0","1"
"129556","0","1"
"129568","0","1"
"129568","1","2"
"129585","0","1"
"129598","0","2"
"129600","0","1"
"130754","0","1"
"130816","0","1"
"130819","0","2"
"130819","1","3"
"130825","0","1"
"130825","1","2"
"130825","2","3"
"130825","3","4"
"130825","4","5"
"130825","5","6"
"130825","6","7"
"130833","0","1"
"130833","1","2"
"130840","0","1"
"130840","1","2"
"132142","0","1"
"133330","0","2"
"136884","0","2"
"136887","0","1"
"136887","1","3"
"136934","0","1"
"136934","1","2"
"136938","0","1"
"136938","1","2"
"136938","2","3"
"136938","3","4"
"136963","0","1"
"137403","0","1"
"137443","0","1"
"137443","1","2"
"137450","0","1"
"137457","0","1"
"137457","1","5"
"137467","0","2"
"137470","0","1"
"137474","0","2"
"137713","0","1"
"137719","0","1"
"137726","0","1"
"137726","1","2"
"137745","0","2"
"141424","0","1"
"143684","0","1"
"143688","0","5"
"143688","1","6"
"144035","0","1"
"144035","1","2"
"144035","2","3"
"144035","3","4"
"145665","0","1"
"145879","0","3"
"145887","0","3"
"145895","0","1"
"145895","1","2"
"145910","0","3"
"145913","0","1"
"145915","0","1"
"145919","0","1"
"145920","0","3"
"145922","0","2"
"145922","1","3"
