"main.id","hpq_phiheal_life_mem.id","phiheal_life_mem_refno"
"55967","0","1"
"55967","1","2"
"55992","0","1"
"55992","1","6"
"56017","0","1"
"56017","1","6"
"56028","0","1"
"56306","0","1"
"56808","0","2"
"61415","0","2"
"61415","1","3"
"61415","2","4"
"103308","0","1"
"103308","1","2"
"122723","0","1"
"122723","1","2"
"122723","2","3"
"122723","3","4"
"122735","0","6"
"122735","1","7"
"130760","0","1"
"130808","0","1"
"130808","1","2"
"132142","0","1"
"132157","0","1"
"132173","0","1"
"132173","1","3"
"132173","2","4"
"132173","3","5"
"132173","4","6"
"132182","0","1"
"136896","0","1"
"136896","1","2"
"136896","2","3"
"136931","0","1"
"136932","0","1"
"136940","0","2"
"136945","0","3"
"136961","0","1"
"136961","1","2"
"145938","0","1"
"152701","0","1"
"152701","1","2"
"160564","0","1"
"164782","0","1"
"171935","0","1"
"184224","0","1"
"184224","1","2"
"192166","0","1"
"192166","1","2"
"192166","2","3"
"192167","0","3"
"192174","0","1"
"192187","0","2"
"192196","0","2"
"193026","0","1"
"217973","0","1"
"220990","0","1"
"220990","1","6"
"244049","0","1"
"244049","1","2"
"249556","0","6"
"249556","1","5"
"249571","0","6"
"268295","0","1"
"268295","1","2"
"268305","0","1"
"268305","1","2"
"268309","0","1"
"274305","0","1"
"274305","1","2"
"280690","0","1"
"280690","1","2"
"280776","0","8"
"302922","0","1"
"302974","0","1"
"302974","1","4"
"303007","0","1"
"303033","0","1"
"307244","0","1"
"307244","1","2"
"318827","0","1"
"467931","0","5"
"467931","1","4"
"467931","2","3"
"467931","3","2"
"467931","4","1"
"468705","0","1"
"468705","1","2"
"468705","2","3"
"468705","3","4"
"473249","0","1"
"473249","1","2"
"473251","0","1"
"473251","1","2"
"473256","0","1"
"473256","1","2"
"473258","0","2"
"473258","1","3"
"473665","0","1"
"500811","0","1"
"500811","1","2"
"508087","0","1"
"508087","1","3"
"508087","2","4"
"508101","0","1"
"508101","1","2"
"508148","0","1"
"508699","0","1"
"508699","1","2"
"508699","2","3"
"508699","3","4"
"508747","0","6"
"508747","1","7"
"508886","0","1"
"508886","1","2"
"516773","0","1"
"516773","1","2"
"520662","0","1"
"534859","0","1"
"597416","0","1"
"597416","1","9"
"597481","0","1"
"597481","1","7"
"597593","0","1"
"597628","0","1"
"613361","0","1"
"644892","0","1409783975643"
"644892","1","1409783975644"
"657944","0","1"
"684627","0","1"
"684627","1","2"
"716359","0","1"
"716359","1","2"
"728231","0","1"
"728231","1","2"
"742860","0","1"
"742860","1","2"
"751267","0","1"
"815036","0","1"
"815036","1","2"
"827927","0","1"
"833665","0","1"
"845476","0","1"
"845568","0","1"
"845568","1","2"
"866426","0","1"
"866448","0","3"
"866917","0","1"
"866917","1","2"
"866917","2","3"
"866917","3","4"
"892897","0","1"
"892922","0","1"
"892922","1","2"
"892946","0","1"
"892946","1","2"
"892947","0","1"
"892947","1","2"
"901237","0","1"
"901237","1","2"
"913769","0","1"
"913770","0","1"
"913770","1","2"
"913808","0","1"
"913808","1","3"
"913817","0","1"
"913817","1","5"
"913820","0","1"
"913835","0","1"
"913842","0","1"
"913842","1","3"
"920792","0","4"
"920793","0","1"
"920797","0","1"
"920799","0","1"
"920801","0","1"
"920801","1","7"
"920808","0","1"
"920817","0","1"
"920821","0","1"
"920822","0","1"
"920823","0","5"
"920829","0","1"
"920829","1","5"
"920846","0","1"
"920846","1","5"
"920847","0","6"
"920849","0","1"
"920851","0","1"
"926838","0","1"
"936114","0","1"
"936114","1","2"
"945203","0","1"
"945203","1","2"
"945220","0","1"
"953561","0","1"
"966555","0","1"
"982366","0","1"
"1008102","0","1"
"1016667","0","1"
"1016673","0","1"
"1016679","0","1"
"1016817","0","1"
"1016817","1","6"
"1016907","0","1"
"1016908","0","1"
"1017525","0","1"
"1017525","1","3"
"1017525","2","4"
"1017549","0","1"
"1017562","0","1"
"1017563","0","1"
"1017598","0","1"
"1053436","0","1"
"1060685","0","1"
"1060820","0","1"
"1069492","0","1"
"1069492","1","2"
"1069493","0","2"
"1069501","0","1"
"1069508","0","1"
"1069677","0","1"
"1069677","1","2"
"1069680","0","2"
"1069497","0","1"
"1069497","1","2"
"1074559","0","1"
"1077864","0","1"
"1077864","1","2"
"1077872","0","1"
"1077875","0","1"
"1077875","1","2"
"1077886","0","1"
"1081266","0","1"
"1081267","0","1"
"1081272","0","1"
"1081277","0","3"
"1086687","0","1"
"1094075","0","1"
"1094075","1","4"
"1094082","0","1"
"1094086","0","1"
"1094087","0","1"
"1094090","0","1"
"1094091","0","1"
