"main.id","hpq_phiheal_spon_mem.id","phiheal_spon_mem_refno"
"55964","0","1"
"55964","1","2"
"56011","0","1"
"56011","1","2"
"56011","2","3"
"56011","3","4"
"56011","4","5"
"56011","5","6"
"56011","6","7"
"56796","0","2"
"56796","1","3"
"56796","2","1"
"56796","3","4"
"56796","4","5"
"56797","0","2"
"56797","1","4"
"56800","0","2"
"56802","0","1"
"56802","1","2"
"56802","2","3"
"56802","3","5"
"56803","0","2"
"56803","1","1"
"56809","0","1"
"56812","0","2"
"61412","0","5"
"61412","1","1"
"61412","2","92"
"61412","3","3"
"61412","4","4"
"61449","0","1"
"61449","1","2"
"61449","2","3"
"61527","0","1"
"61527","1","2"
"61527","2","3"
"63381","0","12"
"63381","1","11"
"63381","2","14"
"63381","3","3"
"67511","0","2"
"67515","0","1"
"67553","0","1"
"68861","0","1"
"70173","0","1"
"67509","0","2"
"68913","0","19"
"68919","0","1"
"68921","0","1"
"72080","0","1"
"72080","1","2"
"72080","2","3"
"72080","3","4"
"72080","4","5"
"80323","0","2"
"88716","0","2"
"88727","0","1"
"88728","0","1"
"88729","0","1"
"88740","0","1"
"88743","0","1"
"98316","0","1"
"104530","0","6"
"111945","0","2"
"111945","1","3"
"111945","2","4"
"111946","0","2"
"111946","1","3"
"111946","2","4"
"116498","0","1"
"116498","1","2"
"116498","2","3"
"116499","0","1"
"116499","1","2"
"116500","0","1"
"116500","1","2"
"116500","2","3"
"116743","0","1"
"116743","1","5"
"116743","2","3"
"116743","3","4"
"122420","0","1"
"122420","1","3"
"122420","2","4"
"122473","0","1"
"122473","1","2"
"122473","2","3"
"122473","3","4"
"122474","0","2"
"122474","1","5"
"122474","2","1"
"123147","0","1"
"123147","1","2"
"123147","2","5"
"123147","3","6"
"123147","4","7"
"120586","0","1"
"120586","1","2"
"120586","2","3"
"120586","3","4"
"120586","4","5"
"120586","5","6"
"120586","6","7"
"120586","7","8"
"120586","8","9"
"120590","0","2"
"120590","1","1"
"120593","0","1"
"120593","1","2"
"120593","2","3"
"120593","3","4"
"120593","4","5"
"120595","0","2"
"120595","1","3"
"120595","2","4"
"120595","3","5"
"120595","4","6"
"120595","5","7"
"120595","6","8"
"120596","0","1"
"120596","1","2"
"120596","2","3"
"120596","3","4"
"120596","4","5"
"120596","5","6"
"120598","0","1"
"120598","1","2"
"120598","2","3"
"120598","3","4"
"120598","4","5"
"120598","5","6"
"120598","6","7"
"120603","0","1"
"120603","1","2"
"120606","0","1"
"120606","1","2"
"120608","0","1"
"120608","1","2"
"120608","2","3"
"120608","3","4"
"120608","4","5"
"120613","0","1"
"120613","1","2"
"120613","2","3"
"120613","3","4"
"120613","4","5"
"120613","5","6"
"120614","0","1"
"120614","1","3"
"120616","0","1"
"120616","1","3"
"120616","2","4"
"120618","0","2"
"120618","1","3"
"120618","2","4"
"120620","0","1"
"120620","1","3"
"120620","2","4"
"120620","3","5"
"120620","4","6"
"120620","5","7"
"120620","6","8"
"120620","7","9"
"120620","8","10"
"120622","0","1"
"120622","1","2"
"120622","2","3"
"120622","3","4"
"120623","0","1"
"120623","1","2"
"120623","2","3"
"120623","3","4"
"120623","4","5"
"120624","0","1"
"120624","1","3"
"120624","2","4"
"120626","0","1"
"120631","0","2"
"120631","1","4"
"120631","2","5"
"120631","3","6"
"120632","0","1"
"120637","0","1"
"120637","1","2"
"120637","2","3"
"120637","3","4"
"120638","0","1"
"120638","1","2"
"120638","2","3"
"120640","0","1"
"120640","1","2"
"120640","2","3"
"120640","3","4"
"120640","4","5"
"120640","5","6"
"120641","0","1"
"120641","1","2"
"120641","2","3"
"120641","3","4"
"120639","0","1"
"120639","1","2"
"120639","2","3"
"120639","3","4"
"120639","4","5"
"120639","5","6"
"120647","0","1"
"120647","1","2"
"120647","2","3"
"120647","3","4"
"120647","4","5"
"127055","0","1"
"127055","1","2"
"127055","2","3"
"127055","3","4"
"127055","4","5"
"122703","0","1"
"122703","1","2"
"122703","2","3"
"122703","3","4"
"122704","0","1"
"122704","1","2"
"122704","2","3"
"122714","0","1"
"122722","0","2"
"122728","0","1"
"122729","0","1"
"122729","1","2"
"122738","0","1"
"122738","1","2"
"122738","2","3"
"122738","3","4"
"122738","4","5"
"122747","0","1"
"122747","1","2"
"122747","2","3"
"122747","3","4"
"122747","4","5"
"122747","5","6"
"122747","6","7"
"122764","0","2"
"122764","1","1"
"122768","0","1"
"122768","1","2"
"122768","2","3"
"122768","3","4"
"122768","4","5"
"122768","5","6"
"122768","6","7"
"122769","0","1"
"122769","1","2"
"122769","2","3"
"122769","3","4"
"122769","4","5"
"122777","0","1"
"122777","1","2"
"122777","2","3"
"122777","3","4"
"122777","4","5"
"122777","5","6"
"127119","0","1"
"127119","1","2"
"127119","2","3"
"127124","0","2"
"127124","1","3"
"127124","2","4"
"127124","3","5"
"127127","0","1"
"127127","1","2"
"127127","2","3"
"128536","0","1"
"128536","1","2"
"128536","2","3"
"128536","3","4"
"128562","0","1"
"128562","1","2"
"128562","2","4"
"128562","3","3"
"128562","4","5"
"128562","5","6"
"128562","6","7"
"128562","7","8"
"128563","0","1"
"128563","1","2"
"128563","2","3"
"128563","3","4"
"129550","0","1"
"129562","0","2"
"129572","0","2"
"129595","0","1"
"129597","0","1"
"129616","0","2"
"130741","0","1"
"130764","0","1"
"130764","1","2"
"130764","2","3"
"130819","0","1"
"130828","0","2"
"130828","1","3"
"130828","2","4"
"132142","0","1"
"132173","0","1"
"132173","1","3"
"132173","2","5"
"132173","3","4"
"132173","4","6"
"136779","0","6"
"136779","1","4"
"136788","0","2"
"136788","1","5"
"136788","2","1"
"136884","0","3"
"136884","1","1"
"136891","0","1"
"136891","1","2"
"136891","2","3"
"136891","3","4"
"136891","4","5"
"136891","5","6"
"136891","6","7"
"136893","0","2"
"136893","1","3"
"136893","2","4"
"136893","3","5"
"136893","4","6"
"136893","5","7"
"136904","0","1"
"136904","1","3"
"136905","0","1"
"136905","1","3"
"136905","2","4"
"136906","0","1"
"136906","1","2"
"136906","2","3"
"136906","3","4"
"136906","4","5"
"136906","5","6"
"136906","6","7"
"136913","0","2"
"136913","1","1"
"136915","0","1"
"136915","1","2"
"136915","2","3"
"136915","3","4"
"136915","4","5"
"136916","0","1"
"136916","1","2"
"136916","2","3"
"136916","3","4"
"136916","4","5"
"136916","5","6"
"136917","0","1"
"136917","1","2"
"136918","0","1"
"136918","1","2"
"136918","2","3"
"136919","0","1"
"136919","1","2"
"136919","2","3"
"136919","3","4"
"136919","4","5"
"136919","5","6"
"136919","6","7"
"136923","0","1"
"136923","1","2"
"136923","2","3"
"136923","3","4"
"136923","4","5"
"136930","0","1"
"136930","1","2"
"136930","2","3"
"136930","3","4"
"136937","0","1"
"136937","1","2"
"136944","0","1"
"136944","1","2"
"136959","0","1"
"136959","1","2"
"136959","2","3"
"136959","3","4"
"137449","0","1"
"137451","0","1"
"137712","0","1"
"137713","0","1"
"137720","0","1"
"137722","0","1"
"137728","0","1"
"137732","0","2"
"141334","0","2"
"141346","0","1"
"141351","0","1"
"141369","0","1"
"141432","0","1"
"142578","0","4"
"142578","1","5"
"146060","0","1"
"146073","0","2"
"146075","0","2"
"149096","0","1"
"149100","0","1"
"150633","0","1"
"151448","0","1"
"153139","0","1"
"153139","1","2"
"153139","2","3"
"153139","3","4"
"160448","0","3"
"160454","0","1"
"160532","0","3"
"160537","0","2"
"164790","0","1"
"171935","0","1"
"176838","0","1"
"176854","0","2"
"176861","0","2"
"176871","0","1"
"176938","0","2"
"176944","0","2"
"176982","0","1"
"178818","0","1"
"178827","0","7"
"178904","0","1"
"179557","0","2"
"179557","1","3"
"179557","2","1"
"179557","3","4"
"179557","4","5"
"179576","0","1"
"179576","1","2"
"179576","2","3"
"179576","3","4"
"179576","4","5"
"179576","5","6"
"193014","0","1"
"193728","0","1"
"193869","0","1"
"204712","0","7"
"204714","0","2"
"204714","1","6"
"204714","2","7"
"204731","0","1"
"204731","1","2"
"204731","2","3"
"204731","3","5"
"204731","4","1"
"204741","0","5"
"204741","1","2"
"204741","2","4"
"204936","0","1"
"204947","0","1"
"208270","0","5"
"208270","1","2"
"208273","0","3"
"208273","1","5"
"208273","2","6"
"208276","0","1"
"208276","1","9"
"208276","2","10"
"208276","3","11"
"208276","4","12"
"215314","0","4"
"222321","0","16"
"222321","1","17"
"236458","0","2"
"236461","0","2"
"236923","0","1"
"236923","1","2"
"236923","2","3"
"240038","0","2"
"240043","0","2"
"240045","0","1"
"240048","0","2"
"240380","0","2"
"240381","0","2"
"240383","0","2"
"240391","0","2"
"246593","0","1"
"246593","1","2"
"246615","0","2"
"253145","0","1"
"253145","1","2"
"253145","2","3"
"253145","3","4"
"253154","0","1"
"253154","1","2"
"253154","2","3"
"253154","3","4"
"253154","4","5"
"253157","0","1"
"253157","1","2"
"253157","2","3"
"253158","0","1"
"253158","1","2"
"253158","2","3"
"253294","0","2"
"257109","0","2"
"268298","0","2"
"268298","1","3"
"268298","2","4"
"268298","3","5"
"268329","0","2"
"268329","1","3"
"274292","0","2"
"278027","0","2"
"278453","0","2"
"278453","1","6"
"278453","2","7"
"278453","3","8"
"278458","0","2"
"278458","1","2"
"278458","2","4"
"278458","3","5"
"278462","0","2"
"278462","1","5"
"278462","2","6"
"278462","3","7"
"278464","0","1"
"278464","1","6"
"278464","2","7"
"278464","3","8"
"278466","0","3"
"278466","1","2"
"278466","2","4"
"278466","3","5"
"278475","0","2"
"278475","1","3"
"278475","2","4"
"278477","0","2"
"278477","1","3"
"278477","2","4"
"278477","3","5"
"278479","0","1"
"278479","1","3"
"278479","2","4"
"278486","0","2"
"278486","1","3"
"278486","2","4"
"278502","0","2"
"278502","1","3"
"278502","2","4"
"278502","3","5"
"278514","0","2"
"278514","1","3"
"278514","2","4"
"278514","3","5"
"278520","0","2"
"278520","1","4"
"278520","2","5"
"278520","3","6"
"278526","0","2"
"278526","1","3"
"278526","2","4"
"278530","0","2"
"278530","1","3"
"278530","2","4"
"278545","0","2"
"278545","1","3"
"278545","2","4"
"278545","3","5"
"280277","0","1"
"280277","1","8"
"280277","2","9"
"280277","3","10"
"280277","4","11"
"280684","0","1"
"280684","1","2"
"280684","2","3"
"280709","0","2"
"280746","0","1"
"280759","0","2"
"280759","1","1"
"280772","0","1"
"288397","0","1"
"293518","0","2"
"293518","1","3"
"293518","2","4"
"293518","3","5"
"293643","0","2"
"293643","1","3"
"293643","2","4"
"293643","3","5"
"298906","0","2"
"298906","1","4"
"298906","2","5"
"298907","0","2"
"298907","1","3"
"298907","2","5"
"298907","3","6"
"302899","0","2"
"302928","0","1"
"302979","0","1"
"314107","0","1"
"314107","1","2"
"314107","2","3"
"314115","0","1"
"314347","0","1"
"314347","1","2"
"314347","2","3"
"314347","3","4"
"316799","0","1"
"316802","0","2"
"316805","0","2"
"316805","1","1"
"316979","0","1"
"316979","1","2"
"316979","2","3"
"316980","0","1"
"316982","0","1"
"316982","1","2"
"316982","2","3"
"316982","3","4"
"316982","4","5"
"316982","5","6"
"316983","0","1"
"316983","1","5"
"322118","0","1"
"322118","1","2"
"322118","2","3"
"326091","0","1"
"326091","1","2"
"326091","2","3"
"326092","0","2"
