"main.id","hpq_prog.id","prog_line","progtype","progname","prognmem","progimplementor","progimplementor_o"
"55963","0","5","16","take care i care","3","3",""
"55980","0","3","16","take care i care","1","3",""
"55986","0","2","16","take care i care","1","3",""
"55988","0","4","16","value care","3","6",""
"55989","0","3","16","fortune care","1","6",""
"55992","0","8","16","take care i care","2","3",""
"56011","0","8","16","take care i care","7","3",""
"56012","0","5","16","take care i care","3","3",""
"56017","0","8","16","take care i care","2","3",""
"56030","0","5","16","take care i care","4","3",""
"56073","0","8","16","take care i care","1","3",""
"56075","0","2","16","maxi care","1","6",""
"56281","0","6","16","take care i care","4","3",""
"56282","0","4","16","take care i care","3","3",""
"56283","0","5","15","hmo","1","6",""
"56306","0","6","16","take care i care","1","3",""
"56307","0","4","16","take care i care","3","3",""
"56807","0","7","16","take care i care","3","3",""
"56808","0","21","18","National Science Scholarship Program","1","1",""
"56809","0","7","16","takecare icare","2","3",""
"56812","0","11","16","take care i care","3","3",""
"59174","0","2","16","Intellicare","1","8","Intellicare Health Company"
"61412","0","7","17","congresswoman emi rubiano-calixto","3","3",""
"61415","0","5","22","feeding program","1","3",""
"67555","0","57","22","Social penson for senior citizen","1","3",""
"69113","0","4","16","take care i care","1","3",""
"69127","0","4","16","take care i care","2","3",""
"69130","0","6","16","i care take care","5","1",""
"72101","0","2","22","take care i care","1","3",""
"72102","0","12","16","take care i care","2","3",""
"72909","0","16","22","take care i care","5","3",""
"72912","0","3","16","take care i care","2","3",""
"72913","0","6","16","take care i care","5","3",""
"98284","0","6","16","fortune care","1","7",""
"98288","0","10","16","take care i care","5","3",""
"100879","0","11","22","dswd","1","3",""
"100880","0","11","15","phil health","1","1",""
"103538","0","13","22","Senior citizen social pension","2","3",""
"103574","0","16","22","Social pension for Senior citizen","2","3",""
"110203","0","4","16","Take Care I Care","2","3",""
"110207","0","3","16","Take Care I Care","1","3",""
"110210","0","4","16","Take Care i Care","1","3",""
"113077","0","8","22","pangpatawid program","2","3",""
"116543","0","1403831969962","16","Oplan sagip mata","1","3",""
"116552","0","1403831969962","16","Oplan sagip mata","1","3",""
"116554","0","15","22","social pension for senior citizen","1","3",""
"120697","0","9","22","Takecare I care","2","3",""
"122481","0","5","16","take care  i care","4","3",""
"122482","0","6","16","take care i care","5","3",""
"122485","0","3","16","take care i care","1","3",""
"122492","0","3","16","take care i care","2","3",""
"122497","0","5","16","take care i care","4","3",""
"122500","0","13","16","take care i care","2","3",""
"123147","0","23","16","take care i care","1","3",""
"120577","0","5","15","medicare","2","6",""
"120583","0","7","16","take care,i care","3","3",""
"120585","0","7","16","take care i care","1","3",""
"120586","0","10","16","take care,i care","9","1",""
"120592","0","4","16","taje care i care","3","3",""
"120596","0","17","16","take care i care","7","3",""
"120598","0","8","16","take care icare","7","3",""
"120600","0","6","16","take care i care","5","3",""
"120601","0","7","16","take care,icare","4","3",""
"120603","0","4","16","take care,i care","2","3",""
"120608","0","6","16","take care i care","5","3",""
"120611","0","4","16","take care,i care","3","3",""
"120613","0","7","16","take care,i care","6","3",""
"120614","0","5","16","take care,icare","2","3",""
"120618","0","6","16","take care i care","3","3",""
"120621","0","3","16","take care i care","1","3",""
"120622","0","5","16","take care,i care","4","3",""
"120623","0","6","16","take care,i care","5","3",""
"120629","0","6","16","take care,i care","5","3",""
"120630","0","5","16","take care,i care","4","3",""
"120631","0","8","16","take care i care","6","3",""
"120634","0","6","16","take care,i care","5","3",""
"120637","0","5","16","take care,i care","4","3",""
"120638","0","4","16","take care ,i care","3","3",""
"120640","0","15","16","take care,i care","6","3",""
"120639","0","7","16","take care,i care","6","3",""
"122703","0","5","16","take care i care","4","1",""
"122706","0","2","16","take care,i care","6","1",""
"122714","0","3","16","take care,i care","2","3",""
"122715","0","5","16","take care,i care","4","3",""
"122717","0","6","15","hmi","4","6",""
"122718","0","2","16","take care,i care","1","3",""
"122723","0","5","16","take care,i care","4","3",""
"122728","0","3","16","take care,i care","2","3",""
"122729","0","3","16","take care.i care","2","3",""
"122735","0","8","15","maxicare","5","6",""
"122736","0","6","15","intellicare","5","6",""
"122738","0","6","16","take care,i care","5","3",""
