"main.id","hpq_prog.id","hpq_prog_mem.id","hpq_prog_mem_refno"
"55963","0","0","2"
"55963","0","1","3"
"55963","0","2","4"
"55980","0","0","2"
"55986","0","0","1"
"55988","0","0","2"
"55988","0","1","1"
"55988","0","2","3"
"55989","0","0","1"
"55992","0","0","1"
"55992","0","1","6"
"56011","0","0","1"
"56011","0","1","2"
"56011","0","2","3"
"56011","0","3","4"
"56011","0","4","5"
"56011","0","5","6"
"56011","0","6","7"
"56012","0","0","2"
"56012","0","1","3"
"56012","0","2","4"
"56017","0","0","1"
"56017","0","1","6"
"56030","0","0","4"
"56030","0","1","1"
"56030","0","2","2"
"56030","0","3","3"
"56073","0","0","3"
"56075","0","0","1"
"56281","0","0","1"
"56281","0","1","2"
"56281","0","2","3"
"56281","0","3","4"
"56282","0","0","1"
"56282","0","1","2"
"56282","0","2","3"
"56283","0","0","2"
"56306","0","0","1"
"56307","0","0","1"
"56307","0","1","2"
"56307","0","2","3"
"56807","0","0","1"
"56807","0","1","2"
"56807","0","2","3"
"56808","0","0","5"
"56809","0","0","1"
"56809","0","1","3"
"56812","0","0","2"
"56812","0","1","3"
"56812","0","2","4"
"59174","0","0","1"
"61412","0","0","3"
"61412","0","1","4"
"61412","0","2","1"
"61415","0","0","3"
"67555","0","0","1"
"69113","0","0","1"
"69127","0","0","2"
"69127","0","1","3"
"69130","0","0","4"
"69130","0","1","5"
"69130","0","2","1"
"69130","0","3","2"
"69130","0","4","3"
"72101","0","0","1"
"72102","0","0","1"
"72102","0","1","2"
"72909","0","0","1"
"72909","0","1","2"
"72909","0","2","3"
"72909","0","3","4"
"72909","0","4","5"
"72912","0","0","1"
"72912","0","1","2"
"72913","0","0","1"
"72913","0","1","2"
"72913","0","2","3"
"72913","0","3","4"
"72913","0","4","5"
"98284","0","0","2"
"98288","0","0","1"
"98288","0","1","2"
"98288","0","2","3"
"98288","0","3","4"
"98288","0","4","5"
"100879","0","0","5"
"100880","0","0","2"
"103538","0","0","1"
"103538","0","1","2"
"103574","0","0","1"
"103574","0","1","2"
"110203","0","0","2"
"110203","0","1","3"
"110207","0","0","1"
"110210","0","0","1"
"113077","0","0","5"
"113077","0","1","4"
"116543","0","0","1"
"116552","0","0","1"
"116554","0","0","1"
"120697","0","0","3"
"120697","0","1","2"
"122481","0","0","1"
"122481","0","1","2"
"122481","0","2","3"
"122481","0","3","4"
"122482","0","0","1"
"122482","0","1","2"
"122482","0","2","3"
"122482","0","3","4"
"122482","0","4","5"
"122485","0","0","2"
"122492","0","0","1"
"122492","0","1","2"
"122497","0","0","1"
"122497","0","1","2"
"122497","0","2","3"
"122497","0","3","4"
"122500","0","0","3"
"122500","0","1","4"
"123147","0","0","7"
"120577","0","0","1"
"120577","0","1","2"
"120583","0","0","1"
"120583","0","1","2"
"120583","0","2","3"
"120585","0","0","1"
"120586","0","0","1"
"120586","0","1","2"
"120586","0","2","3"
"120586","0","3","4"
"120586","0","4","5"
"120586","0","5","6"
"120586","0","6","7"
"120586","0","7","8"
"120586","0","8","9"
"120592","0","0","1"
"120592","0","1","2"
"120592","0","2","3"
"120596","0","0","1"
"120596","0","1","2"
"120596","0","2","3"
"120596","0","3","4"
"120596","0","4","5"
"120596","0","5","6"
"120596","0","6","7"
"120598","0","0","1"
"120598","0","1","2"
"120598","0","2","3"
"120598","0","3","4"
"120598","0","4","5"
"120598","0","5","6"
"120598","0","6","7"
"120600","0","0","1"
"120600","0","1","2"
"120600","0","2","3"
"120600","0","3","4"
"120600","0","4","5"
"120601","0","0","2"
"120601","0","1","3"
"120601","0","2","4"
"120601","0","3","5"
"120603","0","0","1"
"120603","0","1","2"
"120608","0","0","1"
"120608","0","1","2"
"120608","0","2","3"
"120608","0","3","4"
"120608","0","4","5"
"120611","0","0","1"
"120611","0","1","2"
"120611","0","2","3"
"120613","0","0","1"
"120613","0","1","2"
"120613","0","2","3"
"120613","0","3","4"
"120613","0","4","5"
"120613","0","5","6"
"120614","0","0","2"
"120614","0","1","3"
"120618","0","0","2"
"120618","0","1","3"
"120618","0","2","4"
"120621","0","0","1"
"120622","0","0","1"
"120622","0","1","2"
"120622","0","2","3"
"120622","0","3","4"
"120623","0","0","1"
"120623","0","1","2"
"120623","0","2","3"
"120623","0","3","4"
"120623","0","4","5"
"120629","0","0","1"
"120629","0","1","2"
"120629","0","2","3"
"120629","0","3","4"
"120629","0","4","5"
"120630","0","0","1"
"120630","0","1","2"
"120630","0","2","3"
"120630","0","3","4"
"120631","0","0","1"
"120631","0","1","2"
"120631","0","2","3"
"120631","0","3","4"
"120631","0","4","5"
"120631","0","5","6"
"120634","0","0","1"
"120634","0","1","2"
"120634","0","2","3"
"120634","0","3","4"
"120634","0","4","5"
"120637","0","0","2"
"120637","0","1","3"
"120637","0","2","4"
"120637","0","3","1"
"120638","0","0","1"
"120638","0","1","2"
"120638","0","2","3"
"120640","0","0","1"
"120640","0","1","2"
"120640","0","2","3"
"120640","0","3","4"
"120640","0","4","5"
"120640","0","5","6"
"120639","0","0","1"
"120639","0","1","2"
"120639","0","2","3"
"120639","0","3","4"
"120639","0","4","5"
"120639","0","5","6"
"122703","0","0","1"
"122703","0","1","2"
"122703","0","2","3"
"122703","0","3","4"
"122706","0","0","1"
"122706","0","1","3"
"122706","0","2","4"
"122706","0","3","5"
"122706","0","4","6"
"122706","0","5","7"
"122714","0","0","1"
"122714","0","1","2"
"122715","0","0","2"
"122715","0","1","1"
"122715","0","2","3"
"122715","0","3","4"
"122717","0","0","1"
"122717","0","1","2"
"122717","0","2","3"
"122717","0","3","4"
"122718","0","0","1"
"122723","0","0","1"
"122723","0","1","2"
"122723","0","2","3"
"122723","0","3","4"
"122728","0","0","1"
"122728","0","1","2"
