"main.id","hpq_spisc_mem.id","spisc_mem_refno"
"55964","0","2"
"55964","1","1"
"55983","0","2"
"55983","1","3"
"55983","2","1"
"55992","0","1"
"55992","1","2"
"56017","0","1"
"56017","1","2"
"56306","0","1"
"59167","0","1"
"59167","1","6"
"61411","0","2"
"61411","1","3"
"61449","0","1"
"61527","0","1"
"67517","0","1"
"67553","0","1"
"67555","0","1"
"68861","0","1"
"68862","0","1"
"68862","1","2"
"68868","0","1"
"68869","0","1"
"69114","0","1"
"69115","0","1"
"69119","0","1"
"70317","0","1"
"70329","0","2"
"70329","1","1"
"68917","0","8"
"72102","0","1"
"72909","0","4"
"72909","1","5"
"80329","0","3"
"80332","0","1"
"80336","0","1"
"80338","0","1"
"88728","0","1"
"88734","0","5"
"88742","0","1"
"98285","0","33"
"98316","0","1"
"98322","0","2"
"98749","0","2"
"100898","0","2"
"100901","0","1"
"103308","0","1"
"103308","1","2"
"113105","0","7"
"113106","0","1"
"113125","0","3"
"113125","1","1"
"116554","0","1"
"120675","0","2"
"120681","0","3"
"120696","0","1"
"120702","0","1"
"122488","0","1"
"122488","1","2"
"123762","0","1"
"126814","0","1"
"126814","1","2"
"126834","0","3"
"126840","0","1"
"126840","1","2"
"120584","0","1"
"120585","0","1"
"120590","0","1"
"120594","0","1"
"120621","0","1"
"122714","0","2"
"122714","1","1"
"122725","0","1"
"122728","0","1"
"122735","0","7"
"122735","1","6"
"122741","0","1"
"122744","0","1"
"122745","0","4"
"127137","0","2"
"127137","1","1"
"127145","0","1"
"127146","0","1"
"128530","0","1"
"128560","0","1"
"129550","0","1"
"129560","0","1"
"129566","0","1"
"129569","0","1"
"129571","0","1"
"129586","0","1"
"129587","0","1"
"129587","1","3"
"129595","0","1"
"129600","0","1"
"129600","1","2"
"129600","2","3"
"129614","0","2"
"129616","0","1"
"129616","1","2"
"129618","0","2"
"129618","1","1"
"129621","0","1"
"129621","1","2"
"130758","0","1"
"130760","0","1"
"130816","0","1"
"130818","0","1"
"130818","1","2"
"130819","0","1"
"132146","0","1"
"132146","1","3"
"132153","0","1"
"132158","0","1"
"133316","0","5"
"133318","0","1"
"133319","0","2"
"133319","1","1"
"133320","0","2"
"133320","1","1"
"133324","0","1"
"133324","1","2"
"133355","0","1"
"133363","0","1"
"133432","0","1"
"133432","1","2"
"133435","0","1"
"133435","1","2"
"133439","0","1"
"133762","0","5"
"136777","0","1"
"136808","0","1"
"136934","0","2"
"136944","0","2"
"136945","0","3"
"136950","0","2"
"136951","0","1"
"136957","0","1"
"136961","0","1"
"136961","1","2"
"137729","0","3"
"139246","0","1"
"139246","1","2"
"140932","0","1"
"141354","0","1"
"141432","0","2"
"141432","1","1"
"141449","0","2"
"142577","0","1"
"143176","0","3"
"145659","0","2"
"145659","1","1"
"146978","0","1"
"146978","1","2"
"146980","0","6"
"146982","0","2"
"146982","1","1"
"149096","0","1"
"151205","0","2"
"151205","1","1"
"152341","0","1"
"152343","0","6"
"152701","0","1"
"152701","1","2"
"152702","0","4"
"152713","0","4"
"152713","1","5"
"153140","0","1"
"160446","0","3"
"160446","1","1"
"160527","0","3"
"160527","1","1"
"161152","0","1"
"162218","0","1"
"162218","1","4"
"162228","0","1"
"162228","1","4"
"162233","0","1"
"163857","0","4"
"164444","0","1"
"164444","1","2"
"164466","0","1"
"164466","1","2"
"170269","0","2"
"171906","0","2"
"171906","1","1"
"171935","0","1"
"171937","0","1"
"172550","0","6"
"172554","0","4"
"176553","0","1"
"176946","0","3"
"176947","0","1"
"176989","0","1"
"178859","0","5"
"178882","0","1"
"178887","0","3"
"178889","0","4"
"182914","0","3"
"182942","0","1"
"184223","0","1"
"184223","1","2"
"184224","0","1"
"184583","0","2"
"184586","0","1"
"184586","1","2"
"184593","0","1"
"191152","0","1"
"192159","0","2"
"193032","0","1"
"193038","0","5"
"203982","0","8"
"203984","0","2"
"203984","1","1"
"203991","0","3"
"204066","0","1"
"204732","0","1"
"204739","0","1"
"204926","0","1"
"204936","0","1"
"204940","0","1"
"204940","1","2"
"204953","0","1"
"204962","0","1"
"204963","0","5"
"204964","0","9"
"204966","0","1"
"204971","0","5"
"204990","0","1"
"205006","0","2"
"205014","0","1"
"205014","1","2"
"207932","0","1"
"215539","0","1"
"215539","1","2"
"217973","0","1"
"220527","0","1"
"220527","1","2"
"220997","0","2"
"220997","1","1"
"221022","0","1"
"221022","1","2"
"222294","0","1406568272211"
"224237","0","1"
"224247","0","1"
"222309","0","1"
"226035","0","1"
"230260","0","1"
"233567","0","2"
"234240","0","1"
"234240","1","2"
"236338","0","1"
"236346","0","1"
"236348","0","1"
"236348","1","2"
"236354","0","1"
"236355","0","1"
"236442","0","1"
"237122","0","8"
"237122","1","1"
"237126","0","1"
"240047","0","1"
"240047","1","2"
"243994","0","1"
"243994","1","2"
"244725","0","1"
"244725","1","2"
"244735","0","1"
"244735","1","2"
"244748","0","1"
"244749","0","1"
"244749","1","2"
"244753","0","1"
"245902","0","5"
"245917","0","1"
"246606","0","1"
"246606","1","2"
"246618","0","2"
"246618","1","3"
"249582","0","1"
"249582","1","2"
"249946","0","1"
"249946","1","2"
"249955","0","1"
"249955","1","2"
"254245","0","2"
"254245","1","1"
"254540","0","1"
"254540","1","2"
"254549","0","1"
"254549","1","2"
"254555","0","1"
"255410","0","2"
"255489","0","1"
"255490","0","1"
"255491","0","1"
"255565","0","1"
"255578","0","1"
"255589","0","1"
"255591","0","1"
"256763","0","1"
"256763","1","2"
"256764","0","1"
"256764","1","2"
"256773","0","1"
"256778","0","17"
"257103","0","1"
"257103","1","2"
"257104","0","1"
"257104","1","2"
"261603","0","1"
"261619","0","2"
"261619","1","1"
"261688","0","1"
"262053","0","1"
"268271","0","1"
